Image,Fabric_Type
"""E:\Fabric Defect Detection\fabric_dataset\images\train\01_hole.jpeg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\train\01_knot.jpg""",polyester
"""E:\Fabric Defect Detection\fabric_dataset\images\train\01_stain.jpg""",denim
"""E:\Fabric Defect Detection\fabric_dataset\images\train\03_hole.jpg""",linen
"""E:\Fabric Defect Detection\fabric_dataset\images\train\03_knot.jpg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\train\03_stain.jpg""",denim
"""E:\Fabric Defect Detection\fabric_dataset\images\train\04_hole.jpg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\train\04_knot.jpg""",twill
"""E:\Fabric Defect Detection\fabric_dataset\images\train\04_stain.jpg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\train\05_hole.jpg""",denim
"""E:\Fabric Defect Detection\fabric_dataset\images\train\05_knot.jpg""",jute
"""E:\Fabric Defect Detection\fabric_dataset\images\train\05_stain.jpg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\train\06_hole.jpg""",twill
"""E:\Fabric Defect Detection\fabric_dataset\images\train\06_knot.jpg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\train\06_stain.jpg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\train\08_hole.jpg""",georgette
"""E:\Fabric Defect Detection\fabric_dataset\images\train\08_knot.jpg""",linen
"""E:\Fabric Defect Detection\fabric_dataset\images\train\08_stain.jpg""",jute
"""E:\Fabric Defect Detection\fabric_dataset\images\train\09_hole.jpg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\train\09_knot.png""",wool
"""E:\Fabric Defect Detection\fabric_dataset\images\train\09_stain.jpg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\train\10_hole.jpg""",wool
"""E:\Fabric Defect Detection\fabric_dataset\images\train\10_knot.jpg""",linen
"""E:\Fabric Defect Detection\fabric_dataset\images\train\10_stain.jpg""",cotton
"""E:\Fabric Defect Detection\fabric_dataset\images\val\02_hole.jpg""",twill
"""E:\Fabric Defect Detection\fabric_dataset\images\val\02_knot.jpg""",linen
"""E:\Fabric Defect Detection\fabric_dataset\images\val\02_stain.jpg""",cotton
"""E:\Fabric Defect Detection\dataset\non_defect\01.jpg""",wool
"""E:\Fabric Defect Detection\dataset\non_defect\02.jpg""",denim
"""E:\Fabric Defect Detection\dataset\non_defect\03.jpg""",twill
"""E:\Fabric Defect Detection\dataset\non_defect\04.jpg""",linen
"""E:\Fabric Defect Detection\dataset\non_defect\05.jpg""",linen
"""E:\Fabric Defect Detection\dataset\non_defect\06.jpg""",cotton
"""E:\Fabric Defect Detection\dataset\non_defect\07.jpg""",linen
"""E:\Fabric Defect Detection\dataset\non_defect\08.jpg""",linen
"""E:\Fabric Defect Detection\dataset\non_defect\09.jpg""",linen
"""E:\Fabric Defect Detection\dataset\non_defect\10.jpg""",cotton
